id,qid1,qid2,question1,question2,is_duplicate,cos_BOW,q1_vector_BOW,q2_vector_BOW,q1_vector_TFIDF,q2_vector_TFIDF,cos_TFIDF
10,21,22,Method to find separation of slits using fresnel biprism?,What are some of the things technicians can tell about the durability and reliability of Laptops and its components?,0,0.16169041669088863,"<Compressed Sparse Row sparse matrix of dtype 'int64'
	with 9 stored elements and shape (1, 174)>
  Coords	Values
  (0, 149)	1
  (0, 103)	1
  (0, 155)	1
  (0, 94)	1
  (0, 43)	1
  (0, 123)	1
  (0, 127)	1
  (0, 46)	1
  (0, 14)	1","<Compressed Sparse Row sparse matrix of dtype 'int64'
	with 8 stored elements and shape (1, 174)>
  Coords	Values
  (0, 1)	1
  (0, 4)	2
  (0, 7)	1
  (0, 17)	1
  (0, 103)	2
  (0, 131)	1
  (0, 143)	2
  (0, 163)	1","{'method': 1.666102255087602, 'to': 0.6586507448164696, 'find': 1.2079568891505243, 'separation': 1.666102255087602, 'of': 0.9729550745276566, 'slits': 1.666102255087602, 'using': 1.4633697010335198, 'fresnel': 1.666102255087602, 'biprism?': 1.666102255087602}","{'what': 0.42364893019360184, 'are': 0.8613832988705518, 'some': 1.3195286648076292, 'of': 1.9459101490553132, 'the': 1.0296194171811581, 'things': 1.666102255087602, 'technicians': 1.666102255087602, 'can': 0.7302011666368062, 'tell': 1.666102255087602, 'about': 1.3195286648076292, 'durability': 1.666102255087602, 'and': 1.9459101490553132, 'reliability': 1.666102255087602, 'laptops': 1.666102255087602, 'its': 1.666102255087602, 'components?': 1.666102255087602}",0.07288430267318188
11,23,24,How do I read and find my YouTube comments?,How can I see all my Youtube comments?,1,0.6324555320336758,"<Compressed Sparse Row sparse matrix of dtype 'int64'
	with 8 stored elements and shape (1, 174)>
  Coords	Values
  (0, 57)	1
  (0, 99)	1
  (0, 4)	1
  (0, 37)	1
  (0, 43)	1
  (0, 115)	1
  (0, 173)	1
  (0, 27)	1","<Compressed Sparse Row sparse matrix of dtype 'int64'
	with 5 stored elements and shape (1, 174)>
  Coords	Values
  (0, 17)	1
  (0, 27)	1
  (0, 57)	1
  (0, 99)	1
  (0, 173)	1","{'how': 0.626381484247684, 'do': 0.6586507448164696, 'i': 0.6586507448164696, 'read': 1.666102255087602, 'and': 0.9729550745276566, 'find': 1.2079568891505243, 'my': 1.2079568891505243, 'youtube': 1.4633697010335198, 'comments?': 1.4633697010335198}","{'how': 0.626381484247684, 'can': 0.7302011666368062, 'i': 0.6586507448164696, 'see': 1.666102255087602, 'all': 1.666102255087602, 'my': 1.2079568891505243, 'youtube': 1.4633697010335198, 'comments?': 1.4633697010335198}",0.5290023388911683
12,25,26,What can make Physics easy to learn?,How can you make physics easy to learn?,1,0.801783725737273,"<Compressed Sparse Row sparse matrix of dtype 'int64'
	with 7 stored elements and shape (1, 174)>
  Coords	Values
  (0, 163)	1
  (0, 149)	1
  (0, 17)	1
  (0, 82)	1
  (0, 107)	1
  (0, 39)	1
  (0, 78)	1","<Compressed Sparse Row sparse matrix of dtype 'int64'
	with 8 stored elements and shape (1, 174)>
  Coords	Values
  (0, 17)	1
  (0, 39)	1
  (0, 57)	1
  (0, 78)	1
  (0, 82)	1
  (0, 107)	1
  (0, 149)	1
  (0, 171)	1","{'what': 0.42364893019360184, 'can': 0.7302011666368062, 'make': 1.4633697010335198, 'physics': 1.4633697010335198, 'easy': 1.4633697010335198, 'to': 0.6586507448164696, 'learn?': 1.4633697010335198}","{'how': 0.626381484247684, 'can': 0.7302011666368062, 'you': 1.3195286648076292, 'make': 1.4633697010335198, 'physics': 1.4633697010335198, 'easy': 1.4633697010335198, 'to': 0.6586507448164696, 'learn?': 1.4633697010335198}",0.8955570410593485
13,27,28,What was your first sexual experience like?,What was your first sexual experience?,1,0.9258200997725515,"<Compressed Sparse Row sparse matrix of dtype 'int64'
	with 7 stored elements and shape (1, 174)>
  Coords	Values
  (0, 163)	1
  (0, 160)	1
  (0, 172)	1
  (0, 44)	1
  (0, 124)	1
  (0, 41)	1
  (0, 79)	1","<Compressed Sparse Row sparse matrix of dtype 'int64'
	with 6 stored elements and shape (1, 174)>
  Coords	Values
  (0, 41)	1
  (0, 44)	1
  (0, 124)	1
  (0, 160)	1
  (0, 163)	1
  (0, 172)	1","{'what': 0.42364893019360184, 'was': 1.4633697010335198, 'your': 1.2079568891505243, 'first': 1.4633697010335198, 'sexual': 1.4633697010335198, 'experience': 1.666102255087602, 'like?': 1.666102255087602}","{'what': 0.42364893019360184, 'was': 1.4633697010335198, 'your': 1.2079568891505243, 'first': 1.4633697010335198, 'sexual': 1.4633697010335198, 'experience?': 1.666102255087602}",0.66374067034193
14,29,30,"What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?",What are the laws to change your status from a student visa to a green card in the US? How do they compare to the immigration laws in Japan?,0,0.9883036912035245,"<Compressed Sparse Row sparse matrix of dtype 'int64'
	with 21 stored elements and shape (1, 174)>
  Coords	Values
  (0, 163)	1
  (0, 143)	3
  (0, 149)	3
  (0, 61)	2
  (0, 57)	1
  (0, 37)	1
  (0, 172)	1
  (0, 7)	1
  (0, 77)	2
  (0, 24)	1
  (0, 135)	1
  (0, 48)	1
  (0, 138)	1
  (0, 157)	1
  (0, 53)	1
  (0, 22)	1
  (0, 152)	1
  (0, 144)	1
  (0, 29)	1
  (0, 59)	1
  (0, 18)	1","<Compressed Sparse Row sparse matrix of dtype 'int64'
	with 20 stored elements and shape (1, 174)>
  Coords	Values
  (0, 7)	1
  (0, 22)	1
  (0, 24)	1
  (0, 29)	1
  (0, 37)	1
  (0, 48)	1
  (0, 53)	1
  (0, 57)	1
  (0, 59)	1
  (0, 61)	2
  (0, 77)	2
  (0, 135)	1
  (0, 138)	1
  (0, 143)	3
  (0, 144)	1
  (0, 149)	3
  (0, 152)	1
  (0, 157)	1
  (0, 163)	1
  (0, 172)	1","{'what': 0.42364893019360184, 'are': 0.8613832988705518, 'the': 1.544429125771737, 'laws': 2.9267394020670396, 'to': 1.9759522344494087, 'change': 1.4633697010335198, 'your': 1.2079568891505243, 'status': 1.4633697010335198, 'from': 1.3195286648076292, 'a': 1.4604023332736125, 'student': 1.4633697010335198, 'visa': 1.4633697010335198, 'green': 1.4633697010335198, 'card': 1.4633697010335198, 'in': 1.540445040947149, 'us,': 1.666102255087602, 'how': 0.626381484247684, 'do': 0.6586507448164696, 'they': 1.3195286648076292, 'compare': 1.4633697010335198, 'immigration': 1.4633697010335198, 'canada?': 1.666102255087602}","{'what': 0.42364893019360184, 'are': 0.8613832988705518, 'the': 1.544429125771737, 'laws': 2.9267394020670396, 'to': 1.9759522344494087, 'change': 1.4633697010335198, 'your': 1.2079568891505243, 'status': 1.4633697010335198, 'from': 1.3195286648076292, 'a': 1.4604023332736125, 'student': 1.4633697010335198, 'visa': 1.4633697010335198, 'green': 1.4633697010335198, 'card': 1.4633697010335198, 'in': 1.540445040947149, 'us?': 1.4633697010335198, 'how': 0.626381484247684, 'do': 0.6586507448164696, 'they': 1.3195286648076292, 'compare': 1.4633697010335198, 'immigration': 1.4633697010335198, 'japan?': 1.666102255087602}",0.8919036764369805
15,31,32,What would a Trump presidency mean for current international master’s students on an F1 visa?,How will a Trump presidency affect the students presently in US or planning to study in US?,1,0.2142857142857143,"<Compressed Sparse Row sparse matrix of dtype 'int64'
	with 14 stored elements and shape (1, 174)>
  Coords	Values
  (0, 163)	1
  (0, 157)	1
  (0, 170)	1
  (0, 151)	1
  (0, 110)	1
  (0, 90)	1
  (0, 45)	1
  (0, 31)	1
  (0, 66)	1
  (0, 88)	1
  (0, 139)	1
  (0, 104)	1
  (0, 3)	1
  (0, 42)	1","<Compressed Sparse Row sparse matrix of dtype 'int64'
	with 8 stored elements and shape (1, 174)>
  Coords	Values
  (0, 57)	1
  (0, 61)	2
  (0, 110)	1
  (0, 139)	1
  (0, 143)	1
  (0, 149)	1
  (0, 151)	1
  (0, 152)	2","{'what': 0.42364893019360184, 'would': 1.3195286648076292, 'a': 0.7302011666368062, 'trump': 1.4633697010335198, 'presidency': 1.4633697010335198, 'mean': 1.4633697010335198, 'for': 1.3195286648076292, 'current': 1.666102255087602, 'international': 1.666102255087602, 'master’s': 1.666102255087602, 'students': 1.4633697010335198, 'on': 0.9729550745276566, 'an': 1.666102255087602, 'f1': 1.666102255087602, 'visa?': 1.666102255087602}","{'how': 0.626381484247684, 'will': 1.666102255087602, 'a': 0.7302011666368062, 'trump': 1.4633697010335198, 'presidency': 1.4633697010335198, 'affect': 1.666102255087602, 'the': 0.5148097085905791, 'students': 1.4633697010335198, 'presently': 1.666102255087602, 'in': 1.540445040947149, 'us': 1.666102255087602, 'or': 1.666102255087602, 'planning': 1.666102255087602, 'to': 0.6586507448164696, 'study': 1.666102255087602, 'us?': 1.4633697010335198}",0.22322756257658455
16,33,34,What does manipulation mean?,What does manipulation means?,1,0.8660254037844388,"<Compressed Sparse Row sparse matrix of dtype 'int64'
	with 4 stored elements and shape (1, 174)>
  Coords	Values
  (0, 163)	1
  (0, 38)	1
  (0, 90)	1
  (0, 84)	1","<Compressed Sparse Row sparse matrix of dtype 'int64'
	with 3 stored elements and shape (1, 174)>
  Coords	Values
  (0, 38)	1
  (0, 84)	1
  (0, 163)	1","{'what': 0.42364893019360184, 'does': 1.0397207708399179, 'manipulation': 1.4633697010335198, 'mean?': 1.666102255087602}","{'what': 0.42364893019360184, 'does': 1.0397207708399179, 'manipulation': 1.4633697010335198, 'means?': 1.666102255087602}",0.5506691106761807
17,35,36,Why do girls want to be friends with the guy they reject?,How do guys feel after rejecting a girl?,0,0.2041241452319315,"<Compressed Sparse Row sparse matrix of dtype 'int64'
	with 12 stored elements and shape (1, 174)>
  Coords	Values
  (0, 143)	1
  (0, 149)	1
  (0, 168)	1
  (0, 12)	1
  (0, 37)	1
  (0, 144)	1
  (0, 50)	1
  (0, 159)	1
  (0, 47)	1
  (0, 169)	1
  (0, 55)	1
  (0, 117)	1","<Compressed Sparse Row sparse matrix of dtype 'int64'
	with 2 stored elements and shape (1, 174)>
  Coords	Values
  (0, 37)	1
  (0, 57)	1","{'why': 1.0397207708399179, 'do': 0.6586507448164696, 'girls': 1.666102255087602, 'want': 1.666102255087602, 'to': 0.6586507448164696, 'be': 1.0397207708399179, 'friends': 1.666102255087602, 'with': 1.666102255087602, 'the': 0.5148097085905791, 'guy': 1.666102255087602, 'they': 1.3195286648076292, 'reject?': 1.666102255087602}","{'how': 0.626381484247684, 'do': 0.6586507448164696, 'guys': 1.666102255087602, 'feel': 1.666102255087602, 'after': 1.666102255087602, 'rejecting': 1.666102255087602, 'a': 0.7302011666368062, 'girl?': 1.666102255087602}",0.023861184870316247
18,37,38,Why are so many Quora users posting questions that are readily answered on Google?,Why do people ask Quora questions which can be answered easily by Google?,1,0.37688918072220456,"<Compressed Sparse Row sparse matrix of dtype 'int64'
	with 13 stored elements and shape (1, 174)>
  Coords	Values
  (0, 168)	1
  (0, 142)	1
  (0, 7)	2
  (0, 104)	1
  (0, 128)	1
  (0, 85)	1
  (0, 114)	1
  (0, 154)	1
  (0, 109)	1
  (0, 112)	1
  (0, 116)	1
  (0, 5)	1
  (0, 52)	1","<Compressed Sparse Row sparse matrix of dtype 'int64'
	with 11 stored elements and shape (1, 174)>
  Coords	Values
  (0, 5)	1
  (0, 8)	1
  (0, 12)	1
  (0, 16)	1
  (0, 17)	1
  (0, 37)	1
  (0, 52)	1
  (0, 112)	1
  (0, 114)	1
  (0, 165)	1
  (0, 168)	1","{'why': 1.0397207708399179, 'are': 1.7227665977411035, 'so': 1.666102255087602, 'many': 1.4633697010335198, 'quora': 1.4633697010335198, 'users': 1.666102255087602, 'posting': 1.666102255087602, 'questions': 1.3195286648076292, 'that': 1.3195286648076292, 'readily': 1.666102255087602, 'answered': 1.4633697010335198, 'on': 0.9729550745276566, 'google?': 1.4633697010335198}","{'why': 1.0397207708399179, 'do': 0.6586507448164696, 'people': 1.666102255087602, 'ask': 1.3195286648076292, 'quora': 1.4633697010335198, 'questions': 1.3195286648076292, 'which': 1.0397207708399179, 'can': 0.7302011666368062, 'be': 1.0397207708399179, 'answered': 1.4633697010335198, 'easily': 1.666102255087602, 'by': 1.1167961107535471, 'google?': 1.4633697010335198}",0.3810864779986937
19,39,40,Which is the best digital marketing institution in banglore?,Which is the best digital marketing institute in Pune?,0,0.8819171036881966,"<Compressed Sparse Row sparse matrix of dtype 'int64'
	with 9 stored elements and shape (1, 174)>
  Coords	Values
  (0, 70)	1
  (0, 143)	1
  (0, 61)	1
  (0, 165)	1
  (0, 13)	1
  (0, 35)	1
  (0, 87)	1
  (0, 65)	1
  (0, 11)	1","<Compressed Sparse Row sparse matrix of dtype 'int64'
	with 7 stored elements and shape (1, 174)>
  Coords	Values
  (0, 13)	1
  (0, 35)	1
  (0, 61)	1
  (0, 70)	1
  (0, 87)	1
  (0, 143)	1
  (0, 165)	1","{'which': 1.0397207708399179, 'is': 0.8613832988705518, 'the': 0.5148097085905791, 'best': 1.4633697010335198, 'digital': 1.4633697010335198, 'marketing': 1.4633697010335198, 'institution': 1.666102255087602, 'in': 0.7702225204735745, 'banglore?': 1.666102255087602}","{'which': 1.0397207708399179, 'is': 0.8613832988705518, 'the': 0.5148097085905791, 'best': 1.4633697010335198, 'digital': 1.4633697010335198, 'marketing': 1.4633697010335198, 'institute': 1.666102255087602, 'in': 0.7702225204735745, 'pune?': 1.666102255087602}",0.6212297879731784
20,41,42,Why do rockets look white?,Why are rockets and boosters painted white?,1,0.6,"<Compressed Sparse Row sparse matrix of dtype 'int64'
	with 5 stored elements and shape (1, 174)>
  Coords	Values
  (0, 168)	1
  (0, 37)	1
  (0, 119)	1
  (0, 81)	1
  (0, 167)	1","<Compressed Sparse Row sparse matrix of dtype 'int64'
	with 5 stored elements and shape (1, 174)>
  Coords	Values
  (0, 4)	1
  (0, 7)	1
  (0, 119)	1
  (0, 167)	1
  (0, 168)	1","{'why': 1.0397207708399179, 'do': 0.6586507448164696, 'rockets': 1.4633697010335198, 'look': 1.4633697010335198, 'white?': 1.4633697010335198}","{'why': 1.0397207708399179, 'are': 0.8613832988705518, 'rockets': 1.4633697010335198, 'and': 0.9729550745276566, 'boosters': 1.666102255087602, 'painted': 1.666102255087602, 'white?': 1.4633697010335198}",0.5362091202206779
